Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Referee;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
E0;10.08.2018;Man United;Leicester;2;1;H;1;0;H;A Marriner;8;13;6;4;11;8;2;5;2;1;0;0;157;39;75;153;4;75;155;38;7;158;393;75;157;38;6;157;4;7;39;16;156;42;392;805;706;38;212;203;185;179;17;-75;175;17;229;221;155;407;769
E0;11.08.2018;Bournemouth;Cardiff;2;0;H;1;0;H;K Friend;12;10;4;1;11;9;7;4;1;1;0;0;19;36;45;19;34;44;19;35;41;189;363;458;191;35;4;187;36;475;39;193;188;371;353;475;437;38;205;198;192;183;20;-75;22;213;18;175;188;361;47
E0;11.08.2018;Fulham;Crystal Palace;0;2;A;0;1;A;M Dean;15;10;6;9;9;11;5;5;1;2;0;0;25;34;3;245;33;295;24;33;295;25;346;3;245;33;28;25;34;3;39;26;247;349;335;305;292;38;2;195;196;187;22;-25;218;211;181;177;262;338;29
E0;11.08.2018;Huddersfield;Chelsea;0;3;A;0;2;A;C Kavanagh;6;13;1;4;9;8;2;5;2;1;0;0;65;4;161;625;39;157;62;4;155;641;402;162;58;39;157;65;4;162;38;685;609;407;39;166;161;37;205;198;19;184;23;1;184;18;213;206;724;395;158
E0;11.08.2018;Newcastle;Tottenham;1;2;A;1;2;A;M Atkinson;15;15;2;5;11;12;3;5;2;2;0;0;39;35;204;38;35;2;37;335;205;383;357;208;38;32;205;39;34;21;39;401;383;357;34;212;205;38;21;201;188;181;20;25;22;212;18;176;474;353;189
E0;11.08.2018;Watford;Brighton;2;0;H;1;0;H;J Moss;19;6;5;0;10;16;8;2;2;2;0;0;237;32;34;235;31;33;22;33;34;243;322;333;238;3;33;24;32;34;39;248;236;33;314;342;331;37;246;235;167;159;22;-25;207;201;19;186;258;308;322
E0;11.08.2018;Wolves;Everton;2;2;D;1;1;D;C Pawson;11;6;4;5;8;7;3;6;0;1;0;1;237;33;33;235;32;32;225;335;32;236;34;328;23;32;32;238;33;33;38;241;233;34;327;34;323;36;22;209;183;175;22;-25;204;198;192;188;244;323;332
E0;12.08.2018;Arsenal;Man City;0;2;A;0;1;A;M Oliver;9;17;3;8;11;14;2;9;2;2;0;0;4;38;195;37;375;195;36;36;2;4;397;193;38;38;191;39;4;191;39;415;383;4;38;2;192;36;16;155;255;242;20;75;178;174;221;215;443;413;181
E0;12.08.2018;Liverpool;West Ham;4;0;H;2;0;H;A Taylor;18;5;8;2;14;9;5;4;1;2;0;0;125;65;14;12;675;14;125;61;11;127;635;1325;125;55;12;125;65;13;38;129;125;679;622;15;123;33;149;144;288;272;21;-175;195;19;206;197;125;695;12
E0;12.08.2018;Southampton;Burnley;0;0;D;0;0;D;G Scott;18;16;3;6;10;9;8;5;0;1;0;0;185;35;5;18;35;475;18;36;45;186;351;499;183;325;48;185;34;52;39;19;184;361;343;52;48;37;245;234;167;16;20;-75;219;211;182;176;203;319;465
E0;18.08.2018;Cardiff;Newcastle;0;0;D;0;0;D;C Pawson;12;12;1;6;14;16;5;5;2;2;0;1;325;31;254;31;31;245;29;32;25;325;312;254;31;3;245;325;31;255;41;325;314;321;307;26;25;38;261;248;158;153;21;25;182;178;215;211;327;321;247
E0;18.08.2018;Chelsea;Arsenal;3;2;H;2;2;D;M Atkinson;24;15;11;6;12;9;5;1;0;2;0;0;18;4;45;178;38;45;18;38;42;183;397;446;183;375;4;18;4;45;41;187;181;402;385;454;429;39;175;168;225;217;21;-75;208;203;188;184;183;384;464
E0;18.08.2018;Everton;Southampton;2;1;H;2;0;H;L Mason;13;15;7;4;8;20;2;5;0;5;0;0;19;35;475;191;33;45;2;325;4;189;356;471;191;34;4;191;35;46;40;2;189;363;344;478;441;38;225;215;177;17;20;-75;225;216;177;173;184;363;492
E0;18.08.2018;Leicester;Wolves;2;0;H;2;0;H;M Dean;6;11;2;3;10;8;1;9;2;1;1;0;204;35;39;2;35;38;21;33;36;205;356;39;205;34;36;205;35;4;41;212;205;361;344;4;377;39;21;203;186;178;21;-25;18;176;221;213;214;341;381
E0;18.08.2018;Tottenham;Fulham;3;1;H;1;0;H;A Taylor;25;10;11;3;9;5;5;2;0;0;0;0;128;6;12;128;6;10;127;6;10;128;629;1244;125;6;10;129;6;12;41;131;128;65;588;1261;1092;38;156;151;267;254;21;-175;206;2;191;186;127;65;1196
E0;18.08.2018;West Ham;Bournemouth;1;2;A;1;0;H;S Attwell;11;12;5;5;14;10;6;4;6;2;0;0;21;36;37;21;33;375;205;355;355;209;365;369;205;36;34;21;36;37;41;215;208;367;353;375;356;40;185;178;214;204;22;-25;184;179;213;208;21;36;374
E0;19.08.2018;Brighton;Man United;3;2;H;3;1;H;K Friend;6;9;3;3;16;13;3;5;1;1;0;0;55;36;175;55;36;17;51;35;175;537;356;181;48;36;175;55;36;175;42;552;519;362;353;184;176;39;235;226;17;164;22;1;162;158;254;244;59;37;171
E0;19.08.2018;Burnley;Watford;1;3;A;1;1;D;P Tierney;8;9;3;6;8;19;5;2;1;2;0;0;245;31;34;24;31;32;24;31;315;247;308;337;238;3;325;24;31;35;42;25;239;318;304;35;334;38;275;259;154;149;22;-25;21;202;191;186;248;311;336
E0;19.08.2018;Man City;Huddersfield;6;1;H;3;1;H;A Marriner;32;5;14;1;9;4;10;3;0;2;0;0;11;13;26;107;12;31;108;105;29;11;1239;327;106;12;29;106;13;34;42;111;109;13;1135;35;2836;35;139;132;36;332;20;-3;231;224;172;168;108;1393;3605
E0;20.08.2018;Crystal Palace;Liverpool;0;2;A;0;1;A;M Oliver;8;16;2;6;6;13;6;7;1;1;1;0;7;5;144;675;475;144;7;45;145;734;509;145;6;475;144;7;5;145;41;735;679;511;483;149;144;37;159;155;26;243;20;125;197;193;199;194;801;528;141
E0;25.08.2018;Arsenal;West Ham;3;1;H;1;1;D;G Scott;17;13;10;5;16;13;10;2;1;3;0;0;136;55;9;136;525;775;14;48;75;138;552;877;136;5;75;136;55;9;41;14;137;572;532;95;81;33;15;144;29;273;21;-15;205;2;192;187;137;565;867
E0;25.08.2018;Bournemouth;Everton;2;2;D;0;0;D;L Probert;17;11;5;3;12;10;6;2;0;3;1;1;262;36;275;26;34;27;255;35;265;263;358;277;25;36;262;26;36;275;41;269;259;36;349;281;27;38;176;172;225;212;21;-25;229;222;174;169;268;351;275
E0;25.08.2018;Huddersfield;Cardiff;0;0;D;0;0;D;M Oliver;5;14;1;4;8;10;7;7;0;1;1;0;237;3;37;225;31;35;23;3;355;234;31;368;23;31;33;238;31;36;41;24;232;318;304;37;353;38;272;258;155;15;22;-25;201;195;195;191;246;303;35
E0;25.08.2018;Liverpool;Brighton;1;0;H;1;0;H;C Kavanagh;22;6;8;2;8;14;8;5;1;1;0;0;116;85;19;116;75;175;115;79;18;117;854;2113;115;8;17;115;85;23;41;118;116;892;805;23;1881;35;147;141;3;285;21;-225;203;196;196;191;115;948;22
E0;25.08.2018;Southampton;Leicester;1;2;A;0;0;D;J Moss;11;8;5;5;13;11;10;3;1;1;1;0;245;32;325;24;32;31;24;315;31;245;334;318;23;33;31;245;325;325;41;252;242;335;322;325;312;39;24;227;17;163;22;-25;212;205;187;183;235;328;344
E0;25.08.2018;Wolves;Man City;1;1;D;0;0;D;M Atkinson;11;18;2;6;13;8;5;9;1;2;0;0;11;65;128;10;675;125;11;61;125;121;652;127;10;6;125;13;625;129;40;13;1084;675;618;13;127;37;159;154;26;246;21;2;167;161;251;237;1201;582;13
E0;26.08.2018;Fulham;Burnley;4;2;H;3;2;H;D Coote;25;12;12;2;11;8;6;4;2;1;0;0;2;34;433;2;33;4;197;335;41;197;347;44;2;325;39;2;34;433;39;204;198;357;336;45;414;36;231;222;172;165;20;-25;174;169;232;222;226;323;371
E0;26.08.2018;Newcastle;Chelsea;1;2;A;0;0;D;P Tierney;6;15;2;3;16;8;4;5;3;1;0;0;575;4;166;525;38;167;5;375;17;549;406;168;5;375;167;55;4;167;42;575;525;417;39;171;167;40;195;188;201;192;22;1;176;171;228;218;666;425;157
E0;26.08.2018;Watford;Crystal Palace;2;1;H;0;0;D;A Taylor;13;9;5;3;14;11;6;3;4;2;0;0;26;325;3;255;31;295;25;32;295;261;333;296;25;33;28;26;33;29;42;266;255;336;322;304;292;39;221;213;179;171;20;-25;223;216;177;173;237;337;33
E0;27.08.2018;Man United;Tottenham;0;3;A;0;0;D;C Pawson;23;9;5;5;11;16;5;2;2;4;0;0;262;33;29;255;32;29;26;325;275;261;336;293;25;34;27;26;33;29;42;267;256;34;327;3;286;40;21;203;184;179;20;-25;225;218;176;172;262;335;293
E0;1.09.2018;Brighton;Fulham;2;2;D;0;1;A;L Probert;15;10;5;5;12;14;7;1;3;3;0;0;23;34;34;22;33;34;22;33;34;224;345;347;225;33;32;225;34;35;38;23;223;35;337;35;333;37;2;192;193;188;20;-25;195;191;201;196;217;352;361
E0;1.09.2018;Chelsea;Bournemouth;2;0;H;0;0;D;L Mason;24;8;6;1;10;7;7;6;2;2;0;0;13;6;11;128;6;95;127;6;10;13;63;1073;129;58;85;13;6;11;39;133;129;63;588;11;99;33;145;142;3;282;21;-175;207;201;19;185;132;598;1048
E0;1.09.2018;Crystal Palace;Southampton;0;2;A;0;0;D;M Atkinson;20;19;6;6;11;12;7;4;1;1;0;0;2;35;42;195;34;41;2;34;38;195;35;447;195;34;4;2;34;433;37;2;195;352;342;45;416;35;22;212;18;172;17;-75;229;223;173;169;258;318;311
E0;1.09.2018;Everton;Huddersfield;1;1;D;1;1;D;S Attwell;11;9;1;6;13;14;4;3;3;3;0;0;153;42;75;15;4;75;16;4;55;15;43;806;15;38;75;153;42;75;37;16;151;433;41;806;726;35;215;207;182;175;21;-1;197;191;205;196;157;396;747
E0;1.09.2018;Leicester;Liverpool;1;2;A;0;2;A;P Tierney;12;10;5;4;9;12;4;4;3;2;0;0;75;5;144;65;475;145;65;43;15;75;496;145;7;475;14;75;5;145;39;803;732;51;476;15;143;37;17;165;233;225;22;1;237;225;177;167;817;475;145
E0;1.09.2018;Man City;Newcastle;2;1;H;1;1;D;K Friend;24;3;8;2;5;13;4;0;0;0;0;0;111;11;26;112;95;185;112;9;20;112;1057;2795;108;10;26;111;11;29;38;113;111;1134;976;325;2464;31;14;137;32;303;19;-25;202;199;193;189;112;1043;2928
E0;1.09.2018;West Ham;Wolves;0;1;A;0;0;D;C Kavanagh;13;15;3;6;10;11;4;4;2;1;0;0;26;34;287;25;33;285;25;33;285;258;344;291;24;35;28;25;35;29;39;26;251;35;337;3;286;38;193;185;201;195;20;-25;222;215;18;174;26;326;302
E0;2.09.2018;Burnley;Man United;0;2;A;0;2;A;J Moss;9;21;2;9;7;13;2;5;2;3;0;1;6;375;17;6;36;165;5;375;17;594;385;168;55;37;165;625;38;165;38;625;573;39;372;17;167;36;221;214;177;17;21;1;174;17;228;222;672;402;16
E0;2.09.2018;Cardiff;Arsenal;2;3;A;1;1;D;A Taylor;14;17;3;11;12;14;3;9;3;4;0;0;65;433;157;6;4;157;54;38;165;635;454;155;55;433;153;65;433;155;38;66;6;454;422;165;156;36;181;176;216;207;21;1;2;193;205;194;634;447;156
